Tonk,February,347,326,340,275
Tonk,March,398,379,335,365
Tonk,April,394,349,392,457
Tonk,May,390,395,436,1301
Tonk,June,387,408,310,
Tonk,July,322,249,369,
Tonk,August,377,354,349,
Tonk,September,322,310,348,
Tonk,October,403,337,329,
Tonk,November,387,366,404,
Tonk,December,436,450,441,
Udaipur,January,838,782,922,972
Udaipur,February,725,742,690,838
Udaipur,March,906,866,665,843
Udaipur,April,663,629,715,1516
Udaipur,May,830,719,1008,2566
Udaipur,June,597,737,641,
Udaipur,July,614,733,645,
Udaipur,August,622,784,795,
Udaipur,September,648,1122,1005,
Udaipur,October,724,895,892,
Udaipur,November,802,711,921,
Udaipur,December,946,890,1275,
